Class,Peak,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Std_XY_Error,TP,FP,FN,%_Files_With_Peak,Peak_Count
Class1,P1,0.05,0.0001252428101158695,0.05000030007951369,0.2941112191653755,250,2,0,1.0,254
Class1,P2,3.9966887417218544,0.012214260405316752,3.996719925728292,8.439883355831348,127,35,123,0.604,163
Class1,P3,8.124505649717515,0.031777328349441206,8.124602763162827,9.017962074555616,229,195,21,0.944,438
Class2,P1,0.8326180257510729,0.001784129910782718,0.8326211597667992,2.3124880908589738,229,15,21,0.932,247
Class2,P2,6.1093401547947,0.017359701701879577,6.109378905219472,7.155059241291431,229,212,21,0.968,449
Class2,P3,13.061278016213638,0.08807252218506491,13.061650172107042,11.636031559558912,198,325,52,0.932,527
Class3,P1,4.355610561056106,0.05931427882673396,4.356047083693999,3.8213501550340077,108,132,142,0.808,242
Class3,P2,1.8814814814814818,0.0067935402330339826,1.881505058970737,5.742771955791066,208,31,42,0.9,242
Class3,P3,14.113811541565779,0.0802705331664004,14.114133684996455,9.046603082788078,192,281,58,0.944,479
Class4,P2,0.945736434108527,0.0015405125682819334,0.9457379999550909,1.845004813752459,43,12,7,0.86,58
