Class,Peak,idx_median,idx_min,idx_max,idx_q25,idx_q75,idx_iqr,idx_lower_whisker,idx_upper_whisker,idx_zero_frac,h_median,h_min,h_max,h_q25,h_q75,h_iqr,h_lower_whisker,h_upper_whisker,h_zero_frac,prom_median,prom_min,prom_max,prom_q25,prom_q75,prom_iqr,prom_lower_whisker,prom_upper_whisker,prom_zero_frac,w50_median,w50_min,w50_max,w50_q25,w50_q75,w50_iqr,w50_lower_whisker,w50_upper_whisker,w50_zero_frac
Class1,P1,31.0,20.0,70.0,28.0,36.0,8.0,16.0,48.0,0.0,0.9741056142794398,0.9137755217457916,0.9946462568864248,0.9634127950913978,0.980674231357751,0.017261436266353236,0.9375206406918679,1.0065663857572809,0.0,0.9273712724416465,0.0,0.9777675677084414,0.8943442358328233,0.9466161335038937,0.05227189767107043,0.8159363893262177,1.0250239800104994,0.2,56.48871794517877,0.0,109.84463294464939,35.684929434349876,90.33864662605203,54.65371719170215,-46.295646353203345,172.31922241360525,0.2
Class1,P2,60.0,38.0,104.0,53.0,66.0,13.0,33.5,85.5,0.0,0.7181989504932633,0.3650817357287385,0.887486636166655,0.6579375615067977,0.7805571207266054,0.12261955921980772,0.47400822267708614,0.964486459556317,0.0,0.0,0.0,0.2275328659807656,0.0,0.003873907121399345,0.003873907121399345,-0.005810860682099017,0.009684767803498362,0.7466666666666667,0.0,0.0,19.65247777188631,0.0,1.9336807588671565,1.9336807588671565,-2.9005211383007348,4.834201897167891,0.7466666666666667
Class1,P3,93.0,63.0,140.0,84.0,103.0,19.0,55.5,131.5,0.0,0.6178452054667387,0.1766473613474854,0.901900931583846,0.5180225268552314,0.7175673113561919,0.19954478450096047,0.21870535010379072,1.0168844881076327,0.0,0.0012255311120277779,0.0,0.38296211102052813,0.0,0.1169964231017511,0.1169964231017511,-0.17549463465262666,0.2924910577543778,0.4866666666666667,1.2707141473501977,0.0,42.953201754523064,0.0,20.711762227905535,20.711762227905535,-31.0676433418583,51.77940556976384,0.4866666666666667
Class2,P1,32.0,20.0,56.0,28.0,36.0,8.0,16.0,48.0,0.0,0.9551160065967602,0.8277319241900297,0.9974115983995372,0.9235800703130179,0.9781091317597507,0.05452906144673275,0.8417864781429187,1.0599027239298497,0.0,0.02688129281045709,0.0,0.9810476330482312,0.0,0.16980744489546354,0.16980744489546354,-0.2547111673431953,0.42451861223865883,0.4533333333333333,5.787972852369787,0.0,116.33232931110007,0.0,10.313285021262358,10.313285021262358,-15.469927531893536,25.78321255315589,0.4533333333333333
Class2,P2,58.5,39.0,86.0,52.0,64.0,12.0,34.0,82.0,0.0,0.9817731028112371,0.7614881173065994,0.9979658172386898,0.9535006936850927,0.9904951038544878,0.03699441016939509,0.8980090784310001,1.0459867191085803,0.0,0.0,0.0,0.9920187947104502,0.0,0.9180127330257377,0.9180127330257377,-1.3770190995386065,2.2950318325643444,0.56,0.0,0.0,118.77564362800041,0.0,63.39372462625393,63.39372462625393,-95.0905869393809,158.4843115656348,0.56
Class2,P3,89.0,64.0,135.0,80.0,96.25,16.25,55.625,120.625,0.0,0.8048641131819992,0.2901060878554625,0.9966601640364864,0.6704196666154191,0.9153003089633451,0.24488064234792606,0.30309870309353,1.2826212724852342,0.0,0.0,0.0,0.978992224508122,0.0,0.012039235439207124,0.012039235439207124,-0.018058853158810687,0.03009808859801781,0.7033333333333334,0.0,0.0,119.0118567363881,0.0,6.647843790024734,6.647843790024734,-9.9717656850371,16.619609475061836,0.7033333333333334
Class3,P1,26.0,16.0,39.0,24.0,29.0,5.0,16.5,36.5,0.0,0.5998855951014199,0.2350696600366921,0.8913437672580212,0.5158437855475209,0.6985950450757588,0.1827512595282379,0.24171689625516402,0.9727219343681156,0.0,0.0,0.0,0.2167115478035303,0.0,0.0008881592221142709,0.0008881592221142709,-0.0013322388331714063,0.0022203980552856772,0.75,0.0,0.0,12.66196183552508,0.0,0.44063021394532065,0.44063021394532065,-0.660945320917981,1.1015755348633016,0.75
Class3,P2,58.0,35.0,80.0,52.0,62.0,10.0,37.0,77.0,0.0,0.9840644828719348,0.781712567674929,0.997572063276498,0.9710265490366413,0.9889377928091427,0.017911243772501417,0.9441596833778891,1.0158046584678948,0.0,0.06440929893731018,0.0,0.9819970175318331,0.0,0.9524155945284352,0.9524155945284352,-1.4286233917926527,2.381038986321088,0.4,8.76806970062053,0.0,115.69872414237099,0.0,92.43157597593371,92.43157597593371,-138.64736396390057,231.0789399398343,0.4
Class3,P3,81.0,52.0,113.0,73.0,87.25,14.25,51.625,108.625,0.0,0.92273444545154,0.6659630869774178,0.9976778079090948,0.8674318490821313,0.981373001833634,0.11394115275150263,0.6965201199548774,1.152284730960888,0.0,0.0,0.0,0.976970234083398,0.0,0.0588574275907717,0.0588574275907717,-0.08828614138615755,0.14714356897692926,0.62,0.0,0.0,111.81564652026019,0.0,10.542702625279428,10.542702625279428,-15.814053937919143,26.356756563198573,0.62
Class4,P2,60.0,35.0,71.0,58.0,64.0,6.0,49.0,73.0,0.0,0.9929749334780319,0.9553752287228632,0.9980725416063916,0.9912317343919025,0.9955448819924511,0.0043131476005485725,0.9847620129910797,1.002014603393274,0.0,0.9770532311433002,0.0,0.9932635827525405,0.9712274600779504,0.9795672815347258,0.008339821456775476,0.9587177278927872,0.9920770137198891,0.02,82.33555278969811,0.0,112.48653528939276,76.18258351393693,88.50889150913844,12.326307995201503,57.69312152113468,106.9983535019407,0.02
